frequency,recency,T,monetary_value
5.0,77.0,288.0,3450.728
9.0,299.0,312.0,259.32222222222225
5.0,198.0,316.0,252.62600000000003
0.0,0.0,164.0,0.0
0.0,0.0,66.0,0.0
0.0,0.0,365.0,0.0
10.0,360.0,373.0,380.177
0.0,0.0,38.0,0.0
2.0,211.0,211.0,140.95000000000002
0.0,0.0,275.0,0.0
0.0,0.0,255.0,0.0
1.0,244.0,279.0,3993.6400000000003
0.0,0.0,195.0,0.0
6.0,238.0,308.0,215.99333333333334
0.0,0.0,219.0,0.0
1.0,179.0,231.0,162.60000000000002
0.0,0.0,43.0,0.0
0.0,0.0,219.0,0.0
5.0,276.0,370.0,751.914
0.0,0.0,63.0,0.0
0.0,0.0,276.0,0.0
1.0,169.0,234.0,647.1
0.0,0.0,111.0,0.0
11.0,358.0,367.0,227.98363636363638
7.0,281.0,304.0,868.7842857142857
2.0,149.0,282.0,203.64999999999998
1.0,35.0,164.0,85.0
0.0,0.0,163.0,0.0
4.0,227.0,277.0,434.995
0.0,0.0,321.0,0.0
1.0,111.0,373.0,437.97
0.0,0.0,43.0,0.0
0.0,0.0,13.0,0.0
1.0,266.0,351.0,497.34000000000003
13.0,354.0,367.0,649.3576923076923
1.0,156.0,275.0,117.09
0.0,0.0,83.0,0.0
0.0,0.0,135.0,0.0
4.0,122.0,332.0,254.315
1.0,38.0,58.0,378.48
0.0,0.0,83.0,0.0
0.0,0.0,317.0,0.0
3.0,351.0,357.0,1590.8466666666666
1.0,50.0,70.0,759.1800000000001
0.0,0.0,43.0,0.0
6.0,299.0,301.0,631.0500000000001
0.0,0.0,279.0,0.0
0.0,0.0,317.0,0.0
3.0,84.0,100.0,134.95000000000002
1.0,69.0,161.0,281.02
2.0,134.0,161.0,226.07
2.0,355.0,371.0,392.7
1.0,58.0,78.0,836.08
0.0,0.0,211.0,0.0
1.0,155.0,212.0,631.9300000000001
12.0,360.0,368.0,529.0516666666666
2.0,349.0,358.0,721.69
1.0,198.0,232.0,414.98
2.0,268.0,324.0,1666.74
1.0,18.0,43.0,201.15
0.0,0.0,154.0,0.0
4.0,268.0,281.0,399.4375
0.0,0.0,139.0,0.0
2.0,185.0,283.0,440.81
5.0,196.0,212.0,152.932
11.0,361.0,367.0,196.2709090909091
0.0,0.0,39.0,0.0
3.0,82.0,93.0,325.32
0.0,0.0,317.0,0.0
0.0,0.0,39.0,0.0
5.0,345.0,354.0,395.68199999999996
4.0,337.0,360.0,534.97
2.0,218.0,266.0,1147.155
0.0,0.0,23.0,0.0
0.0,0.0,195.0,0.0
15.0,303.0,303.0,720.7800000000001
5.0,280.0,331.0,372.604
1.0,87.0,231.0,1511.37
1.0,38.0,58.0,853.86
3.0,237.0,328.0,700.9633333333333
1.0,44.0,199.0,410.56
2.0,143.0,160.0,648.895
1.0,13.0,183.0,130.0
1.0,64.0,91.0,509.9
0.0,0.0,373.0,0.0
3.0,165.0,178.0,540.19
0.0,0.0,274.0,0.0
1.0,193.0,262.0,572.69
5.0,226.0,246.0,558.516
2.0,264.0,329.0,384.32500000000005
3.0,259.0,303.0,463.49
22.0,328.0,330.0,582.6418181818182
2.0,264.0,336.0,294.09999999999997
4.0,314.0,331.0,341.21
2.0,87.0,100.0,82.375
0.0,0.0,69.0,0.0
0.0,0.0,161.0,0.0
0.0,0.0,58.0,0.0
2.0,137.0,197.0,705.8299999999999
0.0,0.0,71.0,0.0
9.0,244.0,252.0,295.76444444444445
1.0,44.0,303.0,85.65
1.0,212.0,361.0,639.08
1.0,252.0,304.0,81.8
0.0,0.0,29.0,0.0
5.0,299.0,312.0,1176.358
1.0,281.0,301.0,538.64
0.0,0.0,241.0,0.0
0.0,0.0,230.0,0.0
0.0,0.0,36.0,0.0
1.0,25.0,213.0,12.75
2.0,75.0,118.0,473.835
1.0,111.0,301.0,204.4
8.0,326.0,336.0,1815.3025
23.0,359.0,361.0,698.5304347826087
22.0,373.0,373.0,514.5177272727273
6.0,361.0,361.0,660.3183333333333
0.0,0.0,6.0,0.0
0.0,0.0,115.0,0.0
0.0,0.0,55.0,0.0
0.0,0.0,272.0,0.0
2.0,126.0,157.0,133.88
0.0,0.0,56.0,0.0
2.0,137.0,300.0,165.68
1.0,74.0,143.0,534.76
0.0,0.0,225.0,0.0
0.0,0.0,52.0,0.0
3.0,104.0,268.0,367.1266666666667
2.0,51.0,319.0,82.725
3.0,150.0,168.0,1116.3133333333333
8.0,353.0,356.0,299.465
14.0,364.0,365.0,1406.8042857142857
1.0,65.0,311.0,789.75
9.0,365.0,365.0,273.7477777777778
6.0,347.0,370.0,1450.3666666666668
0.0,0.0,225.0,0.0
4.0,137.0,141.0,386.6125
1.0,86.0,106.0,605.4
2.0,152.0,170.0,357.355
3.0,213.0,219.0,419.27
3.0,237.0,259.0,341.38000000000005
2.0,212.0,289.0,469.75500000000005
0.0,0.0,18.0,0.0
0.0,0.0,156.0,0.0
4.0,205.0,282.0,1313.35
2.0,300.0,324.0,455.35
1.0,18.0,27.0,398.90000000000003
0.0,0.0,133.0,0.0
0.0,0.0,7.0,0.0
1.0,9.0,29.0,268.0
1.0,4.0,168.0,170.0
0.0,0.0,260.0,0.0
1.0,132.0,226.0,2784.82
2.0,196.0,317.0,361.925
0.0,0.0,175.0,0.0
15.0,363.0,367.0,313.32533333333333
95.0,370.0,370.0,238.51326315789473
2.0,122.0,156.0,986.79
0.0,0.0,79.0,0.0
8.0,328.0,328.0,651.9699999999999
4.0,279.0,373.0,1164.2425
4.0,349.0,370.0,745.26
0.0,0.0,90.0,0.0
1.0,7.0,99.0,25.0
0.0,0.0,4.0,0.0
5.0,169.0,276.0,251.516
2.0,41.0,42.0,1102.145
0.0,0.0,10.0,0.0
0.0,0.0,85.0,0.0
0.0,0.0,91.0,0.0
0.0,0.0,120.0,0.0
0.0,0.0,199.0,0.0
0.0,0.0,170.0,0.0
1.0,21.0,44.0,127.96
0.0,0.0,302.0,0.0
0.0,0.0,92.0,0.0
2.0,206.0,237.0,287.425
6.0,365.0,371.0,394.84833333333336
0.0,0.0,233.0,0.0
5.0,145.0,154.0,399.84399999999994
0.0,0.0,164.0,0.0
1.0,196.0,366.0,421.55
0.0,0.0,244.0,0.0
0.0,0.0,48.0,0.0
3.0,65.0,163.0,94.60000000000001
1.0,181.0,328.0,92.25
0.0,0.0,45.0,0.0
4.0,251.0,259.0,179.2075
0.0,0.0,169.0,0.0
1.0,30.0,36.0,131.8
0.0,0.0,263.0,0.0
1.0,59.0,59.0,254.03
0.0,0.0,56.0,0.0
0.0,0.0,164.0,0.0
1.0,206.0,311.0,180.92
0.0,0.0,135.0,0.0
5.0,121.0,198.0,242.91799999999998
0.0,0.0,28.0,0.0
1.0,35.0,135.0,147.09
3.0,293.0,309.0,389.48333333333335
3.0,153.0,223.0,508.15333333333336
0.0,0.0,18.0,0.0
2.0,94.0,97.0,116.4
1.0,82.0,282.0,632.95
1.0,142.0,311.0,375.33
1.0,49.0,62.0,236.1
2.0,192.0,328.0,721.8
1.0,35.0,69.0,329.34000000000003
0.0,0.0,93.0,0.0
6.0,337.0,369.0,266.48
0.0,0.0,246.0,0.0
9.0,285.0,314.0,480.6111111111111
1.0,120.0,276.0,303.8
5.0,356.0,356.0,204.566
0.0,0.0,185.0,0.0
0.0,0.0,98.0,0.0
36.0,309.0,371.0,159.95055555555555
9.0,349.0,373.0,394.3211111111111
0.0,0.0,204.0,0.0
8.0,219.0,227.0,310.9125
12.0,365.0,367.0,344.52583333333337
2.0,237.0,309.0,582.6
16.0,150.0,154.0,198.326875
1.0,333.0,372.0,401.8
19.0,344.0,361.0,253.12157894736845
1.0,151.0,228.0,199.61
0.0,0.0,317.0,0.0
0.0,0.0,22.0,0.0
0.0,0.0,310.0,0.0
3.0,210.0,226.0,522.4599999999999
0.0,0.0,80.0,0.0
0.0,0.0,112.0,0.0
3.0,245.0,307.0,512.4666666666667
3.0,167.0,363.0,381.39333333333326
2.0,30.0,37.0,114.76
3.0,247.0,318.0,792.3333333333334
0.0,0.0,18.0,0.0
0.0,0.0,93.0,0.0
0.0,0.0,328.0,0.0
0.0,0.0,254.0,0.0
1.0,70.0,130.0,497.64
4.0,210.0,224.0,409.75
0.0,0.0,143.0,0.0
1.0,98.0,111.0,712.09
1.0,28.0,137.0,325.4
5.0,326.0,358.0,716.1659999999999
2.0,19.0,27.0,169.47500000000002
0.0,0.0,316.0,0.0
2.0,249.0,259.0,733.825
0.0,0.0,74.0,0.0
10.0,371.0,371.0,267.83000000000004
1.0,284.0,316.0,1160.9
1.0,169.0,189.0,459.15999999999997
2.0,226.0,332.0,354.24
1.0,196.0,225.0,978.23
7.0,289.0,325.0,159.98714285714286
1.0,193.0,209.0,302.95
0.0,0.0,18.0,0.0
3.0,121.0,137.0,95.35000000000001
0.0,0.0,22.0,0.0
7.0,201.0,294.0,69.78571428571429
0.0,0.0,31.0,0.0
0.0,0.0,210.0,0.0
1.0,162.0,178.0,193.60000000000002
1.0,196.0,294.0,152.64000000000001
0.0,0.0,48.0,0.0
0.0,0.0,57.0,0.0
0.0,0.0,63.0,0.0
1.0,106.0,317.0,424.76
1.0,99.0,129.0,180.48000000000002
2.0,250.0,265.0,354.0
2.0,229.0,288.0,320.205
3.0,242.0,256.0,567.84
0.0,0.0,186.0,0.0
8.0,370.0,373.0,459.90875
0.0,0.0,35.0,0.0
2.0,217.0,224.0,302.4
2.0,242.0,319.0,634.27
3.0,330.0,365.0,737.4333333333334
0.0,0.0,261.0,0.0
1.0,154.0,360.0,184.96
28.0,372.0,373.0,681.1767857142858
1.0,185.0,210.0,186.7
6.0,337.0,365.0,221.025
0.0,0.0,227.0,0.0
3.0,314.0,360.0,385.9333333333334
0.0,0.0,29.0,0.0
5.0,171.0,184.0,351.48
30.0,358.0,373.0,1637.7126666666666
6.0,128.0,302.0,212.3066666666667
3.0,349.0,364.0,307.90333333333336
0.0,0.0,371.0,0.0
6.0,232.0,242.0,267.4166666666667
4.0,273.0,371.0,355.82
9.0,317.0,331.0,1465.3333333333333
0.0,0.0,359.0,0.0
0.0,0.0,0.0,0.0
1.0,47.0,240.0,180.64999999999998
0.0,0.0,291.0,0.0
0.0,0.0,71.0,0.0
0.0,0.0,8.0,0.0
1.0,7.0,372.0,124.0
10.0,354.0,371.0,956.4780000000001
8.0,312.0,333.0,247.66875000000002
0.0,0.0,157.0,0.0
0.0,0.0,273.0,0.0
2.0,40.0,359.0,180.41
3.0,187.0,363.0,1193.8266666666666
1.0,183.0,218.0,372.6
0.0,0.0,119.0,0.0
3.0,248.0,296.0,302.8
0.0,0.0,14.0,0.0
4.0,154.0,154.0,257.22
0.0,0.0,72.0,0.0
1.0,12.0,18.0,1368.4
0.0,0.0,237.0,0.0
2.0,355.0,370.0,406.04499999999996
30.0,358.0,359.0,157.381
3.0,248.0,296.0,230.56333333333336
0.0,0.0,48.0,0.0
0.0,0.0,200.0,0.0
4.0,297.0,368.0,414.615
5.0,287.0,300.0,408.03200000000004
1.0,10.0,146.0,253.44
4.0,344.0,364.0,389.31
0.0,0.0,364.0,0.0
11.0,351.0,372.0,737.88
6.0,212.0,241.0,275.3833333333333
0.0,0.0,233.0,0.0
6.0,259.0,322.0,404.3283333333334
2.0,268.0,323.0,235.58999999999997
14.0,305.0,364.0,443.8957142857143
3.0,202.0,254.0,143.0
0.0,0.0,24.0,0.0
0.0,0.0,360.0,0.0
2.0,214.0,294.0,337.65999999999997
0.0,0.0,10.0,0.0
3.0,218.0,247.0,293.69
2.0,161.0,288.0,309.94
0.0,0.0,360.0,0.0
19.0,332.0,371.0,709.65
1.0,18.0,69.0,112.80000000000001
17.0,338.0,359.0,334.6117647058823
1.0,26.0,92.0,256.25
0.0,0.0,214.0,0.0
1.0,326.0,358.0,193.35
0.0,0.0,307.0,0.0
1.0,274.0,283.0,153.0
0.0,0.0,7.0,0.0
2.0,163.0,227.0,464.55
15.0,354.0,360.0,470.55466666666666
0.0,0.0,67.0,0.0
4.0,165.0,238.0,626.125
3.0,235.0,283.0,555.5866666666667
5.0,354.0,368.0,194.99
1.0,97.0,294.0,170.95000000000002
7.0,360.0,369.0,291.0214285714286
0.0,0.0,64.0,0.0
0.0,0.0,163.0,0.0
1.0,112.0,217.0,308.04
0.0,0.0,366.0,0.0
3.0,238.0,361.0,140.58
12.0,303.0,323.0,828.6
1.0,149.0,158.0,332.09999999999997
0.0,0.0,3.0,0.0
4.0,147.0,189.0,610.2574999999999
3.0,68.0,95.0,429.9666666666667
0.0,0.0,64.0,0.0
1.0,32.0,36.0,165.86
0.0,0.0,66.0,0.0
0.0,0.0,319.0,0.0
7.0,337.0,371.0,388.67
3.0,138.0,357.0,282.6433333333334
3.0,139.0,224.0,180.99
2.0,134.0,367.0,444.22
9.0,208.0,335.0,457.34222222222223
1.0,85.0,121.0,178.2
0.0,0.0,91.0,0.0
11.0,350.0,358.0,477.39272727272726
4.0,245.0,316.0,463.425
1.0,12.0,36.0,504.0
18.0,358.0,359.0,343.32
1.0,41.0,254.0,80.8
4.0,234.0,289.0,564.8525
0.0,0.0,256.0,0.0
0.0,0.0,64.0,0.0
0.0,0.0,186.0,0.0
2.0,101.0,266.0,184.29999999999998
7.0,205.0,253.0,213.38285714285715
0.0,0.0,115.0,0.0
1.0,41.0,226.0,321.6
4.0,174.0,182.0,216.87
1.0,37.0,81.0,141.65
12.0,174.0,178.0,371.1233333333333
2.0,273.0,367.0,184.35
0.0,0.0,247.0,0.0
1.0,26.0,72.0,115.2
3.0,212.0,358.0,355.1466666666667
0.0,0.0,92.0,0.0
7.0,362.0,363.0,302.42285714285714
30.0,372.0,373.0,542.4726666666667
0.0,0.0,52.0,0.0
2.0,208.0,244.0,76.175
16.0,360.0,366.0,1786.3868750000001
8.0,293.0,352.0,441.2425
0.0,0.0,60.0,0.0
0.0,0.0,126.0,0.0
2.0,59.0,373.0,683.05
0.0,0.0,17.0,0.0
0.0,0.0,361.0,0.0
0.0,0.0,52.0,0.0
67.0,369.0,372.0,858.8646268656717
10.0,129.0,129.0,482.32
0.0,0.0,364.0,0.0
6.0,253.0,302.0,202.39999999999998
36.0,362.0,370.0,1281.0475
1.0,21.0,24.0,223.68
0.0,0.0,29.0,0.0
13.0,350.0,373.0,525.19
2.0,183.0,316.0,212.82999999999998
13.0,217.0,217.0,353.93769230769226
1.0,140.0,212.0,342.36
2.0,238.0,288.0,256.98
0.0,0.0,71.0,0.0
0.0,0.0,48.0,0.0
4.0,260.0,308.0,778.7875
1.0,63.0,70.0,350.06
0.0,0.0,186.0,0.0
4.0,301.0,373.0,276.505
0.0,0.0,353.0,0.0
0.0,0.0,176.0,0.0
13.0,255.0,256.0,450.47999999999996
0.0,0.0,365.0,0.0
5.0,220.0,234.0,489.084
11.0,258.0,258.0,139.15272727272728
3.0,63.0,74.0,332.07666666666665
0.0,0.0,303.0,0.0
1.0,57.0,164.0,151.31
0.0,0.0,20.0,0.0
0.0,0.0,158.0,0.0
5.0,281.0,282.0,286.752
0.0,0.0,266.0,0.0
1.0,77.0,164.0,124.5
2.0,250.0,303.0,794.53
0.0,0.0,94.0,0.0
1.0,14.0,51.0,407.8
0.0,0.0,126.0,0.0
4.0,356.0,366.0,779.465
7.0,116.0,137.0,460.2485714285714
1.0,24.0,31.0,193.23
0.0,0.0,72.0,0.0
2.0,125.0,126.0,269.83
10.0,345.0,365.0,492.838
0.0,0.0,219.0,0.0
0.0,0.0,66.0,0.0
3.0,227.0,234.0,234.33333333333334
10.0,343.0,367.0,458.329
1.0,146.0,265.0,273.45
1.0,2.0,262.0,301.5
6.0,277.0,329.0,277.65166666666664
2.0,336.0,370.0,643.87
2.0,123.0,126.0,271.36
2.0,291.0,311.0,396.31
3.0,232.0,276.0,1250.98
0.0,0.0,23.0,0.0
0.0,0.0,135.0,0.0
11.0,355.0,370.0,626.6363636363636
0.0,0.0,245.0,0.0
1.0,98.0,302.0,96.4
0.0,0.0,48.0,0.0
0.0,0.0,49.0,0.0
0.0,0.0,25.0,0.0
0.0,0.0,177.0,0.0
0.0,0.0,197.0,0.0
0.0,0.0,35.0,0.0
8.0,362.0,364.0,247.875
8.0,366.0,370.0,755.9275
1.0,153.0,370.0,512.3
0.0,0.0,65.0,0.0
9.0,326.0,358.0,857.2144444444444
0.0,0.0,253.0,0.0
0.0,0.0,242.0,0.0
0.0,0.0,16.0,0.0
5.0,241.0,270.0,516.992
0.0,0.0,259.0,0.0
2.0,188.0,367.0,211.78
0.0,0.0,293.0,0.0
2.0,151.0,321.0,460.86
0.0,0.0,56.0,0.0
0.0,0.0,49.0,0.0
2.0,174.0,252.0,535.5450000000001
0.0,0.0,244.0,0.0
1.0,47.0,69.0,751.15
24.0,368.0,369.0,269.89708333333334
3.0,140.0,277.0,307.9533333333333
6.0,336.0,365.0,210.01666666666668
5.0,336.0,357.0,287.77799999999996
0.0,0.0,366.0,0.0
0.0,0.0,78.0,0.0
11.0,332.0,367.0,664.5909090909091
1.0,161.0,247.0,71.4
2.0,287.0,371.0,351.74
4.0,170.0,319.0,590.15
5.0,352.0,368.0,259.212
5.0,185.0,203.0,407.078
6.0,229.0,281.0,269.43333333333334
0.0,0.0,37.0,0.0
0.0,0.0,290.0,0.0
0.0,0.0,253.0,0.0
0.0,0.0,210.0,0.0
0.0,0.0,212.0,0.0
3.0,242.0,300.0,196.44000000000003
7.0,301.0,357.0,1195.847142857143
0.0,0.0,28.0,0.0
16.0,266.0,266.0,204.425625
1.0,274.0,329.0,280.71
1.0,60.0,367.0,118.10000000000001
0.0,0.0,22.0,0.0
1.0,160.0,225.0,188.9
3.0,65.0,137.0,328.4666666666667
3.0,287.0,287.0,306.5233333333333
0.0,0.0,46.0,0.0
3.0,217.0,303.0,104.0
1.0,182.0,266.0,385.31
0.0,0.0,67.0,0.0
4.0,132.0,160.0,310.74
5.0,283.0,319.0,164.224
1.0,42.0,137.0,120.0
0.0,0.0,37.0,0.0
1.0,231.0,260.0,52.4
1.0,273.0,338.0,946.32
0.0,0.0,11.0,0.0
1.0,139.0,147.0,225.7
0.0,0.0,71.0,0.0
1.0,21.0,35.0,200.39999999999998
5.0,301.0,333.0,197.802
1.0,211.0,235.0,140.75
3.0,20.0,48.0,286.59
0.0,0.0,77.0,0.0
6.0,309.0,357.0,334.205
13.0,366.0,367.0,379.2476923076923
8.0,368.0,372.0,417.82875
0.0,0.0,1.0,0.0
0.0,0.0,44.0,0.0
1.0,249.0,267.0,61.5
2.0,245.0,277.0,475.75
2.0,159.0,174.0,129.0
2.0,211.0,245.0,297.71500000000003
2.0,265.0,279.0,514.635
0.0,0.0,74.0,0.0
0.0,0.0,41.0,0.0
1.0,73.0,275.0,151.9
1.0,24.0,259.0,315.17
0.0,0.0,235.0,0.0
2.0,101.0,339.0,258.605
4.0,223.0,301.0,140.4625
0.0,0.0,358.0,0.0
0.0,0.0,73.0,0.0
9.0,252.0,301.0,308.9288888888889
2.0,111.0,161.0,102.56
5.0,276.0,303.0,191.268
0.0,0.0,281.0,0.0
2.0,200.0,211.0,297.135
4.0,154.0,212.0,145.94
2.0,157.0,177.0,811.1
1.0,105.0,163.0,725.02
1.0,186.0,209.0,598.64
0.0,0.0,161.0,0.0
0.0,0.0,35.0,0.0
2.0,214.0,304.0,304.86
6.0,267.0,274.0,223.01166666666666
0.0,0.0,65.0,0.0
1.0,105.0,227.0,30.599999999999998
0.0,0.0,231.0,0.0
0.0,0.0,27.0,0.0
1.0,22.0,37.0,159.72
0.0,0.0,86.0,0.0
5.0,258.0,372.0,301.22200000000004
0.0,0.0,324.0,0.0
5.0,247.0,274.0,1039.2959999999998
10.0,341.0,361.0,379.5591
23.0,368.0,368.0,461.3195652173913
1.0,44.0,113.0,372.8
5.0,135.0,198.0,608.2719999999999
0.0,0.0,67.0,0.0
12.0,356.0,356.0,444.79583333333335
4.0,369.0,370.0,997.33
2.0,199.0,289.0,513.3399999999999
0.0,0.0,36.0,0.0
2.0,247.0,293.0,426.78000000000003
1.0,116.0,287.0,1535.31
0.0,0.0,181.0,0.0
2.0,162.0,338.0,600.75
3.0,238.0,290.0,1772.8466666666666
4.0,134.0,231.0,63.375
2.0,133.0,262.0,827.6700000000001
0.0,0.0,38.0,0.0
3.0,269.0,335.0,283.7
1.0,145.0,252.0,633.25
2.0,47.0,60.0,747.435
0.0,0.0,44.0,0.0
0.0,0.0,66.0,0.0
1.0,9.0,58.0,35.400000000000006
0.0,0.0,0.0,0.0
0.0,0.0,6.0,0.0
1.0,127.0,267.0,1108.65
2.0,318.0,368.0,1763.2600000000002
1.0,35.0,84.0,123.2
0.0,0.0,79.0,0.0
1.0,249.0,280.0,737.56
0.0,0.0,67.0,0.0
5.0,359.0,373.0,913.5319999999999
3.0,303.0,366.0,303.18333333333334
0.0,0.0,178.0,0.0
3.0,110.0,135.0,517.23
1.0,23.0,72.0,521.76
0.0,0.0,52.0,0.0
0.0,0.0,238.0,0.0
0.0,0.0,312.0,0.0
3.0,149.0,367.0,374.1766666666667
10.0,359.0,373.0,379.71500000000003
1.0,21.0,56.0,359.63
4.0,251.0,323.0,331.185
0.0,0.0,83.0,0.0
2.0,55.0,154.0,87.75
0.0,0.0,217.0,0.0
2.0,192.0,199.0,311.65
1.0,336.0,358.0,75.9
2.0,243.0,359.0,247.45000000000002
1.0,204.0,266.0,428.76
2.0,83.0,296.0,430.34000000000003
36.0,364.0,370.0,641.8272777777778
3.0,338.0,366.0,372.5933333333333
0.0,0.0,255.0,0.0
3.0,48.0,322.0,137.31666666666666
2.0,140.0,238.0,441.89
2.0,256.0,363.0,158.625
0.0,0.0,371.0,0.0
2.0,122.0,304.0,212.28
12.0,356.0,363.0,441.2008333333333
3.0,257.0,298.0,477.51666666666665
0.0,0.0,63.0,0.0
0.0,0.0,84.0,0.0
1.0,71.0,214.0,942.86
10.0,348.0,365.0,392.446
2.0,245.0,357.0,163.965
0.0,0.0,149.0,0.0
4.0,253.0,294.0,438.4225
1.0,41.0,247.0,308.8
3.0,195.0,331.0,187.70666666666662
2.0,270.0,290.0,396.72
1.0,124.0,135.0,341.49
0.0,0.0,182.0,0.0
1.0,138.0,161.0,418.62
2.0,28.0,86.0,25.275
0.0,0.0,66.0,0.0
2.0,71.0,373.0,110.935
5.0,229.0,312.0,210.07799999999997
1.0,132.0,141.0,496.39
0.0,0.0,261.0,0.0
10.0,233.0,298.0,334.07
6.0,360.0,368.0,794.6916666666667
6.0,229.0,238.0,306.1133333333333
5.0,247.0,263.0,668.366
0.0,0.0,107.0,0.0
0.0,0.0,37.0,0.0
0.0,0.0,276.0,0.0
4.0,364.0,365.0,388.06000000000006
1.0,49.0,372.0,35.72
1.0,9.0,23.0,990.37
1.0,58.0,317.0,529.62
2.0,190.0,232.0,1189.2
3.0,315.0,360.0,276.8433333333333
3.0,224.0,253.0,707.8733333333333
1.0,140.0,221.0,319.62
2.0,220.0,263.0,221.57
35.0,368.0,371.0,210.60914285714284
0.0,0.0,288.0,0.0
1.0,92.0,190.0,330.06
4.0,150.0,359.0,461.59499999999997
1.0,52.0,130.0,69.15
2.0,238.0,279.0,291.1
3.0,228.0,318.0,318.9633333333333
3.0,208.0,312.0,609.8633333333333
1.0,25.0,112.0,163.06
1.0,263.0,314.0,133.88
4.0,361.0,370.0,428.77
0.0,0.0,262.0,0.0
1.0,256.0,274.0,311.14
7.0,360.0,371.0,342.81142857142856
1.0,229.0,369.0,167.52
7.0,316.0,318.0,895.5485714285714
0.0,0.0,289.0,0.0
17.0,360.0,367.0,184.0494117647059
5.0,364.0,367.0,575.446
4.0,301.0,304.0,188.83249999999998
0.0,0.0,365.0,0.0
0.0,0.0,36.0,0.0
1.0,84.0,205.0,949.62
1.0,133.0,183.0,180.6
3.0,182.0,296.0,252.50666666666666
3.0,91.0,95.0,251.12
0.0,0.0,277.0,0.0
0.0,0.0,142.0,0.0
5.0,343.0,353.0,500.006
0.0,0.0,311.0,0.0
2.0,196.0,218.0,154.44
1.0,214.0,290.0,319.85
2.0,254.0,317.0,158.7
1.0,195.0,279.0,186.60000000000002
0.0,0.0,52.0,0.0
0.0,0.0,77.0,0.0
5.0,351.0,357.0,539.13
1.0,36.0,37.0,566.95
0.0,0.0,373.0,0.0
4.0,269.0,322.0,544.3575000000001
0.0,0.0,269.0,0.0
3.0,370.0,371.0,314.34
7.0,141.0,155.0,236.84857142857143
0.0,0.0,37.0,0.0
1.0,26.0,86.0,302.0
4.0,279.0,310.0,302.025
3.0,170.0,225.0,201.51000000000002
1.0,188.0,290.0,263.14
