frequency,recency,T,monetary_value,exp_purchases_h365,exp_aov,exp_clv_h365,exp_clv_disc
9.0,299.0,312.0,259.32222222222225,9.389144231593642,278.3372681760392,2613.348755932591,2587.4740157748424
5.0,198.0,316.0,252.62600000000003,5.528118777344073,285.2174613351574,1576.7160036332907,1561.104954092367
0.0,0.0,164.0,0.0,,422.3124833438367,,
0.0,0.0,66.0,0.0,,422.3124833438367,,
0.0,0.0,365.0,0.0,0.7305774413607576,422.3124833438367,308.53197353604776,305.47720152083934
10.0,360.0,373.0,380.177,8.922176037892111,384.6533356078485,3431.944773855618,3397.965122629325
0.0,0.0,38.0,0.0,,422.3124833438367,,
2.0,211.0,211.0,140.95000000000002,3.709061781730078,245.83470858309502,911.8161222283089,902.7882398300088
0.0,0.0,275.0,0.0,0.9201381428202057,422.3124833438367,388.58582411378694,384.73843971662075
0.0,0.0,255.0,0.0,0.9764389512403047,422.3124833438367,412.3623583319445,408.27956270489557
1.0,244.0,279.0,3993.6400000000003,inf,2054.065273408172,inf,inf
0.0,0.0,195.0,0.0,,422.3124833438367,,
6.0,238.0,308.0,215.99333333333334,6.605409307419248,250.10827694641853,1652.067540404464,1635.7104360440237
0.0,0.0,219.0,0.0,,422.3124833438367,,
1.0,179.0,231.0,162.60000000000002,inf,303.64888631041913,inf,inf
0.0,0.0,43.0,0.0,,422.3124833438367,,
0.0,0.0,219.0,0.0,,422.3124833438367,,
5.0,276.0,370.0,751.914,4.852531381577946,688.6078669808978,3341.4912841262585,3308.4072120061965
0.0,0.0,63.0,0.0,,422.3124833438367,,
0.0,0.0,276.0,0.0,0.9174930414603915,422.3124833438367,387.4687647898276,383.6324403859679
1.0,169.0,234.0,647.1,inf,525.0187335448153,inf,inf
0.0,0.0,111.0,0.0,,422.3124833438367,,
11.0,358.0,367.0,227.98363636363638,9.875847602647173,246.93471787849734,2438.6896415707142,2414.5441995749648
7.0,281.0,304.0,868.7842857142857,7.646798246670801,803.9754608728175,6147.83814456861,6086.968459968921
2.0,149.0,282.0,203.64999999999998,2.964870075180089,285.16175867874125,845.467564892326,837.096598903293
1.0,35.0,164.0,85.0,inf,268.1931584561588,inf,inf
0.0,0.0,163.0,0.0,,422.3124833438367,,
4.0,227.0,277.0,434.995,5.099863221650827,432.0896153379153,2203.597937719087,2181.780136355532
0.0,0.0,321.0,0.0,0.8124004816167635,422.3124833438367,343.0868648613043,339.6899652092122
1.0,111.0,373.0,437.97,inf,429.4664607850026,inf,inf
0.0,0.0,43.0,0.0,,422.3124833438367,,
0.0,0.0,13.0,0.0,,422.3124833438367,,
1.0,266.0,351.0,497.34000000000003,inf,456.5928340157685,inf,inf
13.0,354.0,367.0,649.3576923076923,11.539229340153181,630.3371203172602,7273.604592952594,7201.588705893658
1.0,156.0,275.0,117.09,inf,282.8551984927982,inf,inf
0.0,0.0,83.0,0.0,,422.3124833438367,,
0.0,0.0,135.0,0.0,,422.3124833438367,,
4.0,122.0,332.0,254.315,4.4053428048209895,292.80084035872807,1289.8880753198619,1277.116906257289
1.0,38.0,58.0,378.48,inf,402.28525910910116,inf,inf
0.0,0.0,83.0,0.0,,422.3124833438367,,
0.0,0.0,317.0,0.0,0.820757114531133,422.3124833438367,346.6159752597645,343.1841339205589
3.0,351.0,357.0,1590.8466666666666,3.2974566691110336,1259.2424655051566,4152.297465907799,4111.185609809702
1.0,50.0,70.0,759.1800000000001,inf,576.2285013013295,inf,inf
0.0,0.0,43.0,0.0,,422.3124833438367,,
6.0,299.0,301.0,631.0500000000001,6.729416299514125,596.5351786162462,4014.333554213737,3974.5876774393437
0.0,0.0,279.0,0.0,0.9096482029951984,422.3124833438367,384.1557915761607,380.35226888728783
0.0,0.0,317.0,0.0,0.820757114531133,422.3124833438367,346.6159752597645,343.1841339205589
3.0,84.0,100.0,134.95000000000002,8.228341036019627,216.49712809688924,1781.4122033000315,1763.7744587129025
1.0,69.0,161.0,281.02,inf,357.75542358492316,inf,inf
2.0,134.0,161.0,226.07,4.505459272315759,299.22415840991175,1348.1422590088166,1334.7943158503135
2.0,355.0,371.0,392.7,2.369037381047642,403.73877336106864,956.4722462706935,947.0022240303896
1.0,58.0,78.0,836.08,inf,611.3643965589663,inf,inf
0.0,0.0,211.0,0.0,,422.3124833438367,,
1.0,155.0,212.0,631.9300000000001,inf,518.087504272275,inf,inf
12.0,360.0,368.0,529.0516666666666,10.68319568701111,519.4316494108731,5549.189956683307,5494.247481864661
2.0,349.0,358.0,721.69,2.440681937090614,610.0897496125306,1489.035031883439,1474.2921107756822
1.0,198.0,232.0,414.98,inf,418.96224450446846,inf,inf
2.0,268.0,324.0,1666.74,2.6503069081457626,1202.8493778882962,3187.9200156761844,3156.356451164539
1.0,18.0,43.0,201.15,inf,321.26252431018384,inf,inf
0.0,0.0,154.0,0.0,,422.3124833438367,,
4.0,268.0,281.0,399.4375,5.04205229169675,404.6778341982073,2040.4068013179485,2020.204753780147
0.0,0.0,139.0,0.0,,422.3124833438367,,
2.0,185.0,283.0,440.81,2.956515150893581,433.914600794905,1282.8750914440766,1270.1733578654223
5.0,196.0,212.0,152.932,7.553463165635342,204.67155776758423,1545.9790726506535,1530.6723491590628
11.0,361.0,367.0,196.2709090909091,9.875847602647173,218.31463736894077,2156.0420880828406,2134.695136715684
0.0,0.0,39.0,0.0,,422.3124833438367,,
3.0,82.0,93.0,325.32,8.577708050009587,352.8443252760012,3026.5956093201567,2996.629316158571
0.0,0.0,317.0,0.0,0.820757114531133,422.3124833438367,346.6159752597645,343.1841339205589
0.0,0.0,39.0,0.0,,422.3124833438367,,
5.0,345.0,354.0,395.68199999999996,5.034843863186457,400.79688217054104,2017.949722580614,1997.9700223570435
4.0,337.0,360.0,534.97,4.119722059821827,509.1617610017644,2097.6049388166975,2076.836573085839
2.0,218.0,266.0,1147.155,3.1052750399352065,876.9523232799013,2723.1781606942677,2696.2160006873937
0.0,0.0,23.0,0.0,,422.3124833438367,,
0.0,0.0,195.0,0.0,,422.3124833438367,,
15.0,303.0,303.0,720.7800000000001,15.456668256951383,698.865138705737,10802.12660532289,10695.174856755337
5.0,280.0,331.0,372.604,5.3222885739111945,382.1514435028935,2033.9202612591196,2013.7824368902175
1.0,87.0,231.0,1511.37,inf,919.90690252164,inf,inf
1.0,38.0,58.0,853.86,inf,619.4881445132028,inf,inf
3.0,237.0,328.0,700.9633333333333,3.5366029989358885,621.8883744382583,2199.372290041709,2177.5963267739694
1.0,44.0,199.0,410.56,inf,416.94273010864595,inf,inf
2.0,143.0,160.0,648.895,4.524890663766547,564.4308562837814,2553.98791194024,2528.7009029111287
1.0,13.0,183.0,130.0,inf,288.75382538195413,inf,inf
1.0,64.0,91.0,509.9,inf,462.33154460661274,inf,inf
0.0,0.0,373.0,0.0,0.7174394787472365,422.3124833438367,302.98364791865316,299.9838098204487
3.0,165.0,178.0,540.19,5.659711410760614,506.73896339059803,2867.9962933787724,2839.600290474032
0.0,0.0,274.0,0.0,0.9227985397518792,422.3124833438367,389.70934294868226,385.8508346026557
1.0,193.0,262.0,572.69,inf,491.02052852373913,inf,inf
5.0,226.0,246.0,558.516,6.7455171496460204,532.3555683655197,3591.0136161191676,3555.459025860562
2.0,264.0,329.0,384.32500000000005,2.617249557012527,398.4857582964588,1042.9366743772077,1032.6105686903047
3.0,259.0,303.0,463.49,3.7724614511593613,451.80472993134555,1704.4159271174672,1687.5405218984822
22.0,328.0,330.0,582.6418181818182,20.776041780263235,574.4233709280904,11934.243953961652,11816.083122734308
2.0,264.0,336.0,294.09999999999997,2.5723309010664943,341.8943213765276,879.4653277760009,870.7577502732682
4.0,314.0,331.0,341.21,4.416277840074133,359.7894284803601,1588.9300800907513,1573.1980990997538
2.0,87.0,100.0,82.375,6.104580913304267,209.0949644147939,1276.4371288345858,1263.799137459986
0.0,0.0,69.0,0.0,,422.3124833438367,,
0.0,0.0,161.0,0.0,,422.3124833438367,,
0.0,0.0,58.0,0.0,,422.3124833438367,,
2.0,137.0,197.0,705.8299999999999,3.9021953914964147,600.141950337938,2341.8711528523722,2318.684309754824
0.0,0.0,71.0,0.0,,422.3124833438367,,
9.0,244.0,252.0,295.76444444444445,11.128599502542462,310.52800613505303,3455.7418146000537,3421.526549108964
1.0,44.0,303.0,85.65,inf,268.4901458673092,inf,inf
1.0,212.0,361.0,639.08,inf,521.3543657949292,inf,inf
1.0,252.0,304.0,81.8,inf,266.73106658588,inf,inf
0.0,0.0,29.0,0.0,,422.3124833438367,,
5.0,299.0,312.0,1176.358,5.58572360200318,1031.5294620000066,5761.83846205508,5704.790556490178
1.0,281.0,301.0,538.64,inf,475.46295721655395,inf,inf
0.0,0.0,241.0,0.0,,422.3124833438367,,
0.0,0.0,230.0,0.0,,422.3124833438367,,
0.0,0.0,36.0,0.0,,422.3124833438367,,
1.0,25.0,213.0,12.75,inf,235.18186544752078,inf,inf
2.0,75.0,118.0,473.835,5.525840937185058,454.62872885565014,2512.2060411309576,2487.332713991047
1.0,111.0,301.0,204.4,inf,322.7474613659357,inf,inf
8.0,326.0,336.0,1815.3025,7.941754815039782,1635.105031559802,12985.603257485833,12857.032928203795
23.0,359.0,361.0,698.5304347826087,20.13136663823436,684.9569139899575,13789.118766925392,13652.592838539993
22.0,373.0,373.0,514.5177272727273,18.767859908865884,509.79130628113234,9567.691819042033,9472.96219707132
6.0,361.0,361.0,660.3183333333333,5.796642818913581,620.963982796494,3599.5064116812728,3563.8677343378936
0.0,0.0,6.0,0.0,,422.3124833438367,,
0.0,0.0,115.0,0.0,,422.3124833438367,,
0.0,0.0,55.0,0.0,,422.3124833438367,,
0.0,0.0,272.0,0.0,0.9281657541067616,422.3124833438367,391.97598457153134,388.09503422923893
2.0,126.0,157.0,133.88,4.584203677668336,241.40022303004525,1106.62779020429,1095.6710794101882
0.0,0.0,56.0,0.0,,422.3124833438367,,
2.0,137.0,300.0,165.68,2.821356532318117,261.3459996335788,737.3502432614057,730.0497458033719
1.0,74.0,143.0,534.76,inf,473.69017082384096,inf,inf
0.0,0.0,225.0,0.0,,422.3124833438367,,
0.0,0.0,52.0,0.0,,422.3124833438367,,
3.0,104.0,268.0,367.1266666666667,4.160957344872846,382.78718299203535,1592.7611405938956,1576.9912283107876
2.0,51.0,319.0,82.725,2.6842100078742166,209.31449340256864,561.8440579842965,556.2812455290064
3.0,150.0,168.0,1116.3133333333333,5.895665459198125,919.3712149506508,5420.305116165567,5366.638728876798
8.0,353.0,356.0,299.465,7.57052767060213,315.3565751284044,2387.415678115905,2363.7778991246582
14.0,364.0,365.0,1406.8042857142857,12.42755519067612,1329.759149673222,16525.655222870515,16362.034874129222
1.0,65.0,311.0,789.75,inf,590.1960476995864,inf,inf
9.0,365.0,365.0,273.7477777777778,8.250063137349201,291.0798851320083,2401.4274303514217,2377.6509211400216
6.0,347.0,370.0,1450.3666666666668,5.678575564815452,1280.3775478986356,7270.720657235518,7198.733323995562
0.0,0.0,225.0,0.0,,422.3124833438367,,
4.0,137.0,141.0,386.6125,8.358179288295338,394.7908597732124,3299.732787364773,3267.062165707696
1.0,86.0,106.0,605.4,inf,505.965848860245,inf,inf
2.0,152.0,170.0,357.355,4.337807333859938,381.5694817242167,1655.1748962004426,1638.7870259410322
3.0,213.0,219.0,419.27,4.861924876038942,420.13338959799296,2042.6569781410424,2022.4326516247945
3.0,237.0,259.0,341.38000000000005,4.274141325918598,364.3468518647313,1557.2699365233898,1541.8514223003858
2.0,212.0,289.0,469.75500000000005,2.9073580099113787,452.0696480838761,1314.3283123944752,1301.315160786609
0.0,0.0,18.0,0.0,,422.3124833438367,,
0.0,0.0,156.0,0.0,,422.3124833438367,,
4.0,205.0,282.0,1313.35,5.027803771734644,1109.2259444658985,5576.970387291567,5521.752858704522
2.0,300.0,324.0,455.35,2.6503069081457626,443.0344621727471,1174.1772956430743,1162.55177786443
1.0,18.0,27.0,398.90000000000003,inf,411.6152328563177,inf,inf
0.0,0.0,133.0,0.0,,422.3124833438367,,
0.0,0.0,7.0,0.0,,422.3124833438367,,
1.0,9.0,29.0,268.0,inf,351.80653728772637,inf,inf
1.0,4.0,168.0,170.0,inf,307.0299737604388,inf,inf
0.0,0.0,260.0,0.0,0.9617275626088074,422.3124833438367,406.14955526554064,402.1282725401392
1.0,132.0,226.0,2784.82,inf,1501.750931336174,inf,inf
2.0,196.0,317.0,361.925,2.698015365089318,384.4359030788754,1037.2139733987938,1026.9445281176177
0.0,0.0,175.0,0.0,,422.3124833438367,,
15.0,363.0,367.0,313.32533333333333,13.202611077659158,321.32767242234286,4242.364287481657,4200.360680674908
95.0,370.0,370.0,238.51326315789473,79.19650787295419,240.78455013206366,19069.29552021971,18880.49061407892
2.0,122.0,156.0,986.79,4.604321747555849,776.3672772099121,3574.644738548319,3539.252216384474
0.0,0.0,79.0,0.0,,422.3124833438367,,
8.0,328.0,328.0,651.9699999999999,8.100643542550072,622.2614575015807,5040.718257487976,4990.810155928689
4.0,279.0,373.0,1164.2425,3.999334102405232,994.276857598458,3976.445343825824,3937.07459784735
4.0,349.0,370.0,745.26,4.026487198340436,671.2773050042731,2702.889475136174,2676.128193204133
0.0,0.0,90.0,0.0,,422.3124833438367,,
1.0,7.0,99.0,25.0,inf,240.77893588843173,inf,inf
0.0,0.0,4.0,0.0,,422.3124833438367,,
5.0,169.0,276.0,251.516,6.16378135080734,284.32065758608513,1752.490366878391,1735.1389771073177
2.0,41.0,42.0,1102.145,9.21410308435793,848.7208954520697,7820.20182054394,7742.774079746475
0.0,0.0,10.0,0.0,,422.3124833438367,,
0.0,0.0,85.0,0.0,,422.3124833438367,,
0.0,0.0,91.0,0.0,,422.3124833438367,,
0.0,0.0,120.0,0.0,,422.3124833438367,,
0.0,0.0,199.0,0.0,,422.3124833438367,,
0.0,0.0,170.0,0.0,,422.3124833438367,,
1.0,21.0,44.0,127.96,inf,287.8217418146514,inf,inf
0.0,0.0,302.0,0.0,0.8536870684911276,422.3124833438367,360.5227058930081,356.95317415149316
0.0,0.0,92.0,0.0,,422.3124833438367,,
2.0,206.0,237.0,287.425,3.3968360156231934,337.70758996682366,1147.1373043486165,1135.779509256056
6.0,365.0,371.0,394.84833333333336,5.665753201867347,399.3895401429869,2262.8425658574556,2240.4381840172828
0.0,0.0,233.0,0.0,,422.3124833438367,,
5.0,145.0,154.0,399.84399999999994,9.493121342839173,404.15949226390916,3836.7351019215594,3798.74762566491
0.0,0.0,164.0,0.0,,422.3124833438367,,
1.0,196.0,366.0,421.55,inf,421.9641018756346,inf,inf
0.0,0.0,244.0,0.0,,422.3124833438367,,
0.0,0.0,48.0,0.0,,422.3124833438367,,
3.0,65.0,163.0,94.60000000000001,6.021177260766013,187.59756720926427,1129.5582058554457,1118.3744612430155
1.0,181.0,328.0,92.25,inf,271.50571034975917,inf,inf
0.0,0.0,45.0,0.0,,422.3124833438367,,
4.0,251.0,259.0,179.2075,5.377310344691638,234.8994031949617,1263.1269907621597,1250.6207829328314
0.0,0.0,169.0,0.0,,422.3124833438367,,
1.0,30.0,36.0,131.8,inf,289.5762520589859,inf,inf
0.0,0.0,263.0,0.0,0.9531116044653912,422.3124833438367,402.510928585608,398.5256718669386
1.0,59.0,59.0,254.03,inf,345.4235924665406,inf,inf
0.0,0.0,56.0,0.0,,422.3124833438367,,
0.0,0.0,164.0,0.0,,422.3124833438367,,
1.0,206.0,311.0,180.92,inf,312.01936226776513,inf,inf
0.0,0.0,135.0,0.0,,422.3124833438367,,
5.0,121.0,198.0,242.91799999999998,7.945320170057017,277.37406422165003,2203.8257471109664,2182.0056902088777
0.0,0.0,28.0,0.0,,422.3124833438367,,
1.0,35.0,135.0,147.09,inf,296.5623097766617,inf,inf
3.0,293.0,309.0,389.48333333333335,3.71303154910973,398.79952127153143,1480.755204251053,1466.094261634706
3.0,153.0,223.0,508.15333333333336,4.7959702848049135,483.7935953863879,2320.2597074520477,2297.2868390614335
0.0,0.0,18.0,0.0,,422.3124833438367,,
2.0,94.0,97.0,116.4,6.213032898322701,230.4363181548954,1431.7084256647217,1417.5330947175462
1.0,82.0,282.0,632.95,inf,518.5535460559263,inf,inf
1.0,142.0,311.0,375.33,inf,400.8460124242955,inf,inf
1.0,49.0,62.0,236.1,inf,337.2313089558848,inf,inf
2.0,192.0,328.0,721.8,2.623794890213053,610.1587444372598,1600.9313958732942,1585.0805899735585
1.0,35.0,69.0,329.34000000000003,inf,379.83301082613275,inf,inf
0.0,0.0,93.0,0.0,,422.3124833438367,,
6.0,337.0,369.0,266.48,5.691456096878403,292.246955622352,1663.3107173709873,1646.8422944267202
0.0,0.0,246.0,0.0,,422.3124833438367,,
9.0,285.0,314.0,480.6111111111111,9.340478793602136,473.80977783873817,4425.610182104073,4381.792259508983
1.0,120.0,276.0,303.8,inf,368.1636900864702,inf,inf
5.0,356.0,356.0,204.566,5.01130913120907,246.38828279424655,1234.7278513897304,1222.5028231581489
0.0,0.0,185.0,0.0,,422.3124833438367,,
0.0,0.0,98.0,0.0,,422.3124833438367,,
36.0,309.0,371.0,159.95055555555555,30.391121858015023,168.3363190859477,5115.9295864707365,5065.276818287858
9.0,349.0,373.0,394.3211111111111,8.101702381977644,397.58668799682783,3221.129017186502,3189.2366506797052
0.0,0.0,204.0,0.0,,422.3124833438367,,
8.0,219.0,227.0,310.9125,10.838217500583088,325.32322422832345,3525.923862177531,3491.013724928249
12.0,365.0,367.0,344.52583333333337,10.707538471400168,351.5364632826761,3764.090204699207,3726.8219848506997
2.0,237.0,309.0,582.6,2.7546866890870287,522.8489298708489,1440.2849875186248,1426.0247401174504
16.0,150.0,154.0,198.326875,27.26922777951113,213.81613344185993,5830.600845760426,5772.872124515273
1.0,333.0,372.0,401.8,inf,412.94025361375776,inf,inf
19.0,344.0,361.0,253.12157894736845,16.75849044545298,263.08301597628713,4408.874209599562,4365.221989702537
1.0,151.0,228.0,199.61,inf,320.55889259761216,inf,inf
0.0,0.0,317.0,0.0,0.820757114531133,422.3124833438367,346.6159752597645,343.1841339205589
0.0,0.0,22.0,0.0,,422.3124833438367,,
0.0,0.0,310.0,0.0,0.8358024840700401,422.3124833438367,352.96982263256615,349.4750719134318
3.0,210.0,226.0,522.4599999999999,4.747666819758216,494.04034592993895,2345.538957993442,2322.315799993507
0.0,0.0,80.0,0.0,,422.3124833438367,,
0.0,0.0,112.0,0.0,,422.3124833438367,,
3.0,245.0,307.0,512.4666666666667,3.7326323657787595,486.88289995380524,1817.354870711795,1799.3612581304901
3.0,167.0,363.0,381.39333333333326,3.251960386972622,393.0052846524264,1278.03761756059,1265.3837797629603
2.0,30.0,37.0,114.76,9.63729255843357,229.4076680407509,2210.8688120567276,2188.979021838344
3.0,247.0,318.0,792.3333333333334,3.627316531619922,687.3295857964317,2493.1619692308705,2468.4771972582876
0.0,0.0,18.0,0.0,,422.3124833438367,,
0.0,0.0,93.0,0.0,,422.3124833438367,,
0.0,0.0,328.0,0.0,0.7981786727673089,422.3124833438367,337.0808174484498,333.7433836123265
0.0,0.0,254.0,0.0,0.9794354037543599,422.3124833438367,413.62779763437703,409.5324729053238
1.0,70.0,130.0,497.64,inf,456.72990512860713,inf,inf
4.0,210.0,224.0,409.75,6.013431116312025,412.6278867329254,2481.309373537847,2456.741953997868
0.0,0.0,143.0,0.0,,422.3124833438367,,
1.0,98.0,111.0,712.09,inf,554.7129056227584,inf,inf
1.0,28.0,137.0,325.4,inf,378.03281021085195,inf,inf
5.0,326.0,358.0,716.1659999999999,4.987993395733756,659.7259386729394,3290.7086250948746,3258.1273515790836
2.0,19.0,27.0,169.47500000000002,10.612085872106423,263.72632108673633,2798.686366107157,2770.976600106096
0.0,0.0,316.0,0.0,0.822873204273442,422.3124833438367,347.50962637381747,344.0689370037797
2.0,249.0,259.0,733.825,3.170972307145562,617.7011332315205,1958.713187569583,1939.3199876926565
0.0,0.0,74.0,0.0,,422.3124833438367,,
